date,open,high,low,close
,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X
2024-12-13,1.0474056005477905,1.0522992610931396,1.045434594154358,1.0474056005477905
2024-12-16,1.051005244255066,1.0524100065231323,1.0475043058395386,1.051005244255066
2024-12-17,1.0517348051071167,1.0532857179641724,1.047998309135437,1.0517348051071167
2024-12-18,1.0495051145553589,1.0515247583389282,1.0467805862426758,1.0495051145553589
2024-12-19,1.0350252389907837,1.0422203540802002,1.0352503061294556,1.0350252389907837
2024-12-20,1.0364949703216553,1.0433076620101929,1.0344257354736328,1.0364949703216553
2024-12-23,1.0433076620101929,1.0448229312896729,1.038594126701355,1.0433076620101929
2024-12-24,1.0405826568603516,1.0411244630813599,1.0387451648712158,1.0405826568603516
2024-12-25,1.0402579307556152,1.0432968139648438,1.0401498079299927,1.0402579307556152
2024-12-26,1.0399551391601562,1.042535424232483,1.0391446352005005,1.0399551391601562
2024-12-27,1.0423181056976318,1.0444954633712769,1.0406694412231445,1.0423181056976318
2024-12-30,1.0429377555847168,1.0458500385284424,1.0374196767807007,1.0429377555847168
2024-12-31,1.040615200996399,1.0424268245697021,1.0348539352416992,1.040615200996399
2025-01-02,1.0351860523223877,1.0375596284866333,1.0231853723526,1.0351860523223877
2025-01-03,1.0268205404281616,1.0305347442626953,1.0265464782714844,1.0268205404281616
2025-01-06,1.0305347442626953,1.0435036420822144,1.029632806777954,1.0305347442626953
2025-01-07,1.0386372804641724,1.043623447418213,1.035947322845459,1.0386372804641724
2025-01-08,1.034554123878479,1.0358400344848633,1.0276752710342407,1.034554123878479
2025-01-09,1.0314701795578003,1.0323113203048706,1.0286160707473755,1.0314701795578003
2025-01-10,1.0297601222991943,1.0311936140060425,1.0221186876296997,1.0297601222991943
