date,open,high,low,close,tick_volume,spread,real_volume,RSI,EMA
2015-04-13,120.184,120.841,119.692,120.12,55857,4,0,53.90349156531982,120.00763680438222
2015-04-14,120.133,120.169,119.068,119.386,65771,4,0,49.29147982062774,119.92475189713126
2015-04-15,119.382,119.741,118.786,119.164,62590,4,0,49.5135135135135,119.82331831084709
2015-04-16,119.164,119.464,118.791,118.938,75045,7,0,48.32922968695044,119.70527586940081
2015-04-17,118.938,119.255,118.566,118.931,68037,4,0,38.221103419341354,119.60203908681403
2015-04-20,118.931,119.432,118.526,119.198,54551,4,0,40.80402010050251,119.54816720857217
2015-04-21,119.198,119.827,119.161,119.63,70734,4,0,48.7814543293045,119.55907824742921
2015-04-22,119.63,119.957,119.339,119.858,77478,6,0,51.41437308868511,119.59893448110532
2015-04-23,119.858,120.089,119.421,119.58,85166,6,0,56.76303017514242,119.59640988362462
2015-04-24,119.58,119.654,118.822,118.992,83454,6,0,44.367088607595065,119.51582189914134
2015-04-27,118.877,119.429,118.771,119.033,62471,6,0,34.88888888888893,119.4514456459225
2015-04-28,119.023,119.193,118.77,118.889,69245,6,0,34.79438561930567,119.37645289313284
2015-04-29,118.85,119.357,118.604,119.029,79519,6,0,29.49946751863685,119.33012584071513
2015-04-30,119.028,119.89,118.492,119.395,102970,6,0,39.44340379983945,119.33877572861978
2015-05-01,119.386,120.287,119.371,120.114,66050,6,0,49.931693989071036,119.4421389648038
2015-05-04,120.232,120.27,119.992,120.136,38131,4,0,60.19021739130433,119.53465376949663
2015-05-05,120.098,120.501,119.723,119.864,25526,3,0,59.383378016085814,119.57856660023042
2015-05-06,119.826,120.046,119.212,119.431,32789,2,0,56.26111252222496,119.55889105353303
2015-05-07,119.426,119.856,119.057,119.729,17099,3,0,59.437086092715234,119.5815722463953
2015-05-08,119.728,120.229,119.587,119.729,21010,7,0,56.70285281494577,119.60122928020925
2015-05-11,119.674,120.148,119.674,120.071,32023,7,0,55.69620253164559,119.66386537618136
2015-05-12,120.07,120.271,119.785,119.856,73480,7,0,49.97407983411081,119.68948332602385
2015-05-13,119.854,120.015,119.033,119.137,64173,7,0,44.84763898581067,119.61581888255401
2015-05-14,119.137,119.334,118.886,119.157,77997,7,0,52.21120343071552,119.55464303154682
2015-05-15,119.137,119.92,119.137,119.379,60115,4,0,54.42229038854809,119.53122396067391
2015-05-18,119.269,120.028,119.252,119.973,36917,7,0,62.425492893168325,119.59012743258405
2015-05-19,119.966,120.73,119.825,120.685,78619,9,0,66.78151601134988,119.73611044157286
2015-05-20,120.675,121.466,120.575,121.32,89207,6,0,68.49894291754758,119.94729571602981
2015-05-21,121.306,121.372,120.84,121.02,83377,7,0,59.46906354515046,120.09032295389251
2015-05-22,121.031,121.565,120.634,121.543,76254,6,0,63.31125827814581,120.28401322670686
2015-05-25,121.485,121.769,121.439,121.548,45357,9,0,66.77959346353126,120.45254479647929
2015-05-26,121.553,123.315,121.495,123.081,92785,6,0,79.83000980712657,120.80300549028206
2015-05-27,123.058,124.062,122.77,123.641,94204,9,0,80.65830721003141,121.18140475824445
2015-05-28,123.616,124.448,123.487,123.946,100086,6,0,81.5407629020195,121.5500174571452
2015-05-29,123.937,124.176,123.6,124.112,90015,7,0,81.041634659702,121.89161512952585
2015-06-01,124.096,124.909,123.852,124.763,91070,6,0,85.32757379409658,122.27446644558907
2015-06-02,124.761,125.046,123.747,124.1,159437,6,0,86.0211932065611,122.51787091951053
2015-06-03,124.083,124.678,123.784,124.24,81313,3,0,86.26052218576108,122.74748813024246
2015-06-04,124.242,124.679,123.777,124.348,53888,2,0,86.03335750543863,122.9608897128768
2015-06-05,124.348,125.853,124.336,125.57,124309,7,0,87.1992556161105,123.30877108449323
2015-06-08,125.586,125.675,124.291,124.471,117844,7,0,73.93173198482936,123.46373493989412
2015-06-09,124.475,124.734,123.858,124.33,127375,7,0,70.29395900755125,123.57923694790824
2015-06-10,124.322,124.617,122.456,122.651,163683,7,0,59.27231381466741,123.45547202152048
2015-06-11,122.618,124.116,122.617,123.406,128916,6,0,60.319042871385825,123.44887575198442
2015-06-12,123.405,123.813,123.127,123.417,144502,6,0,60.34540019926933,123.44462565171983
2015-06-15,123.163,123.657,123.141,123.403,82930,6,0,52.142667021559774,123.43907556482385
2015-06-16,123.394,123.798,123.287,123.351,85175,6,0,47.93034541821292,123.42733215618067
2015-06-17,123.348,124.435,123.207,123.416,108965,7,0,46.08335796630211,123.42582120202324
2015-06-18,123.414,123.608,122.471,122.948,126222,7,0,41.76570458404077,123.36211170842014
2015-06-19,122.944,123.213,122.555,122.674,95503,6,0,34.38947840382605,123.27036348063079
2015-06-22,122.927,123.415,122.556,123.349,96238,7,0,44.3980307325079,123.28084834988003
2015-06-23,123.346,124.18,123.337,123.934,96856,7,0,47.859541130386134,123.3679352365627
