date,open,high,low,close,tick_volume,spread,real_volume,RSI,EMA
2015-01-19,1.15524,1.16381,1.15512,1.1606,49997,7,0,,1.1606
2015-01-20,1.1605,1.16138,1.15397,1.15479,36580,6,0,,1.1598253333333335
2015-01-21,1.1548,1.1679,1.15406,1.16087,45779,6,0,,1.1599646222222224
2015-01-22,1.16088,1.16485,1.13156,1.13642,56260,7,0,,1.1568253392592596
2015-01-23,1.1363,1.13731,1.11145,1.12032,62443,8,0,,1.1519579606913584
2015-01-26,1.11492,1.12945,1.1097,1.12373,51017,8,0,,1.1481942325991772
2015-01-27,1.12377,1.14221,1.1223,1.13803,65402,1,26218873000,,1.1468390015859535
2015-01-28,1.13803,1.13828,1.12757,1.12865,71647,1,0,,1.1444138013744931
2015-01-29,1.12867,1.1367,1.12612,1.13185,45808,2,14000000,,1.1427386278578942
2015-01-30,1.13154,1.13628,1.1277,1.12844,44897,9,0,,1.1408321441435083
2015-02-02,1.13115,1.13616,1.12918,1.13413,62989,1,0,,1.1399385249243739
2015-02-03,1.13399,1.15332,1.13122,1.14781,76916,1,0,,1.1409880549344573
2015-02-04,1.14779,1.14842,1.13155,1.13433,68437,2,0,,1.1401003142765298
2015-02-05,1.13428,1.14983,1.13035,1.14763,75428,5,0,45.097890997051884,1.1411042723729925
2015-02-06,1.1476,1.1485,1.1309,1.13102,66082,5,0,40.06715916722629,1.1397597027232602
2015-02-09,1.12952,1.13586,1.12698,1.13234,65433,5,0,42.2269925905408,1.1387704090268256
2015-02-10,1.13233,1.13448,1.12726,1.13197,68796,5,0,39.58183129055511,1.1378636878232489
2015-02-11,1.132,1.13466,1.12794,1.13351,64393,5,0,48.743414802660006,1.1372831961134824
2015-02-12,1.13348,1.14224,1.13016,1.14022,71197,5,0,59.351503759398504,1.137674769965018
2015-02-13,1.1402,1.14421,1.13792,1.13919,60539,5,0,57.431263218611804,1.1378768006363489
2015-02-16,1.13994,1.14285,1.13191,1.13528,51186,5,0,48.53145359393354,1.1375305605515025
2015-02-17,1.13533,1.14478,1.13217,1.141,69407,5,0,56.863398910748096,1.1379931524779687
2015-02-18,1.14097,1.14152,1.13335,1.13962,64941,5,0,54.40726035167334,1.1382100654809062
2015-02-19,1.1396,1.14496,1.1355,1.13674,59622,5,0,54.73636156128738,1.1380140567501187
2015-02-20,1.13675,1.14231,1.12788,1.13785,69731,1,0,52.23988439306356,1.1379921825167696
2015-02-23,1.1394,1.13952,1.12947,1.1334,55201,5,0,40.23845007451558,1.1373798915145337
2015-02-24,1.13335,1.13577,1.129,1.13397,59038,5,0,49.70443349753683,1.136925239312596
2015-02-25,1.13395,1.1388,1.13353,1.13606,56284,5,0,38.35781847454231,1.1368098740709165
2015-02-26,1.13593,1.13791,1.11834,1.11975,61722,5,0,38.59080785584138,1.1345352241947944
2015-02-27,1.11975,1.12446,1.11758,1.11957,64231,5,0,36.76683937823843,1.1325398609688218
2015-03-02,1.11805,1.12402,1.11597,1.11824,54008,5,0,36.04958341800451,1.1306332128396455
2015-03-03,1.11835,1.12171,1.11545,1.11752,56803,6,0,33.4779913205208,1.1288847844610261
2015-03-04,1.11742,1.11852,1.10615,1.10767,58992,5,0,18.41645643314571,1.1260561465328893
2015-03-05,1.10772,1.11118,1.09879,1.10291,65263,7,0,17.173362287368832,1.1229699936618376
2015-03-06,1.10284,1.10322,1.08387,1.08433,65790,5,0,13.57071357071355,1.117817994506926
2015-03-09,1.08296,1.09061,1.08227,1.08518,59301,2,0,7.101137411620144,1.1134662619060025
2015-03-10,1.08509,1.08547,1.06676,1.06785,80767,5,0,5.702999629675418,1.1073840936518689
2015-03-11,1.06791,1.07163,1.05108,1.05444,88719,7,0,5.046974000437032,1.100324881164953
2015-03-12,1.05457,1.06833,1.04943,1.06241,89899,5,0,11.666666666666785,1.0952695636762926
2015-03-13,1.06238,1.06343,1.04619,1.0491,83236,5,0,10.702964758530783,1.0891136218527868
2015-03-16,1.04855,1.06193,1.04791,1.05669,83506,1,0,16.188309415470883,1.0847904722724153
2015-03-17,1.05664,1.06505,1.0551,1.05972,72379,1,0,16.872070821038065,1.0814477426360933
2015-03-18,1.05961,1.10415,1.05797,1.08284,87748,1,0,34.87666967139232,1.081633376951281
2015-03-19,1.08291,1.09191,1.06125,1.06561,108495,1,0,30.601092896174904,1.07949692669111
2015-03-20,1.06562,1.08813,1.0655,1.08189,82998,5,0,38.20035058105571,1.0798160031322954
2015-03-23,1.08667,1.09707,1.07667,1.09441,91164,5,0,43.0320207441356,1.0817618693813227
2015-03-24,1.09457,1.10286,1.08897,1.09176,80441,9,0,44.985185652146555,1.083094953463813
2015-03-25,1.09184,1.10139,1.09002,1.09708,69803,9,0,48.16885482756455,1.0849596263353045
2015-03-26,1.09711,1.10515,1.08555,1.0874,90096,5,0,51.02135870650073,1.0852850094905973
2015-03-27,1.08743,1.09473,1.08007,1.08841,83003,5,0,51.073446327683634,1.085701674891851
2015-03-30,1.08841,1.08913,1.08095,1.0832,75521,5,0,55.54832646569792,1.0853681182396042
2015-03-31,1.08317,1.08447,1.07123,1.07308,70009,11,0,56.90165876777246,1.0837297024743238
2015-04-01,1.07331,1.07992,1.0718,1.07624,72023,10,0,55.309836443215815,1.0827310754777473
2015-04-02,1.07622,1.09048,1.07497,1.08792,67761,1,0,65.09331259720057,1.0834229320807143
2015-04-03,1.08793,1.10261,1.08632,1.09679,42177,8,0,65.43732676316594,1.0852052078032857
2015-04-06,1.10007,1.10348,1.0909,1.09213,42818,1,0,62.322256862595985,1.0861285134295142
2015-04-07,1.09211,1.0954,1.08029,1.08137,70632,4,0,49.3831305077633,1.0854940449722457
2015-04-08,1.08137,1.0887,1.07627,1.07795,75544,4,0,55.85722422631478,1.0844881723092796
2015-04-09,1.07796,1.07884,1.06372,1.06584,70600,4,0,42.06780666205395,1.082001749334709
2015-04-10,1.06585,1.06833,1.05674,1.0603,69708,4,0,31.892982269880022,1.0791081827567477
2015-04-13,1.0603,1.0619,1.05202,1.05659,70464,2,0,31.53805774278213,1.0761057583891813
2015-04-14,1.05658,1.07043,1.05311,1.06539,77117,4,0,33.95117998581999,1.0746769906039573
2015-04-15,1.06534,1.07015,1.05705,1.06869,82189,4,0,39.87005955603682,1.0738787251900963
2015-04-16,1.06869,1.08172,1.06246,1.07592,109153,5,0,43.664400933346805,1.07415089516475
2015-04-17,1.07592,1.08481,1.07343,1.08089,92329,4,0,48.82538391131901,1.0750494424761168
2015-04-20,1.08089,1.08195,1.0712,1.07379,71150,4,0,50.372468786066506,1.0748815168126347
2015-04-21,1.07379,1.07808,1.06594,1.07333,88718,4,0,48.428895367670776,1.0746746479042835
2015-04-22,1.07333,1.08004,1.07079,1.07253,92181,4,0,40.58485256331822,1.074388694850379
2015-04-23,1.07253,1.08458,1.06655,1.08245,100340,4,0,41.33848755738099,1.075463535536995
2015-04-24,1.08245,1.08996,1.07842,1.087,100443,4,0,46.89730252812382,1.077001730798729
2015-04-27,1.08627,1.09263,1.08191,1.08869,86221,4,0,54.97282608695653,1.0785601666922318
2015-04-28,1.08897,1.09905,1.08595,1.09788,100394,4,0,62.5551215824619,1.081136144466601
2015-04-29,1.09767,1.11875,1.09591,1.11265,117774,4,0,78.53224430086561,1.0853379918710542
2015-04-30,1.11277,1.12659,1.10708,1.12222,143218,4,0,85.9749012316988,1.0902555929549136
2015-05-01,1.12188,1.12896,1.11742,1.11967,102047,4,0,87.14958775029449,1.0941775138942584
2015-05-04,1.11922,1.12238,1.11224,1.11469,62220,4,0,80.40207202762704,1.0969125120416907
2015-05-05,1.11444,1.12203,1.10662,1.11849,21097,2,0,80.52218681049281,1.099789510436132
2015-05-06,1.11851,1.13693,1.11749,1.13447,41796,1,0,82.40894497951959,1.1044135757113145
2015-05-07,1.13473,1.13918,1.12371,1.12657,31166,1,0,74.49067124168995,1.1073677656164727
2015-05-08,1.12654,1.12876,1.11789,1.12085,34340,5,0,75.60949063996499,1.1091653968676096
2015-05-11,1.12,1.12053,1.11305,1.11542,48198,6,0,71.72947857511623,1.1099993439519285
2015-05-12,1.11544,1.1278,1.11337,1.12127,105463,7,0,73.91560353287535,1.1115020980916714
2015-05-13,1.12127,1.13821,1.12019,1.13542,86143,5,0,74.9552435692076,1.1146911516794487
2015-05-14,1.13535,1.14442,1.13402,1.14095,105449,5,0,75.18438987956303,1.1181923314555222
2015-05-15,1.14094,1.14661,1.13233,1.14466,77665,1,0,75.64372766425365,1.1217213539281192
2015-05-18,1.14485,1.14485,1.12979,1.1314,51726,6,0,64.80565371024733,1.1230118400710367
2015-05-19,1.13146,1.13256,1.11184,1.1149,112121,7,0,50.97885669537983,1.1219302613948985
2015-05-20,1.11506,1.11514,1.10616,1.10932,122301,7,0,44.18604651162795,1.120248893208912
2015-05-21,1.10917,1.11807,1.1079,1.11113,109322,4,0,46.12522686025408,1.1190330407810571
2015-05-22,1.11113,1.12069,1.10016,1.10141,105137,7,0,44.22307290760398,1.1166833020102496
2015-05-25,1.10052,1.10089,1.09584,1.09769,60698,7,0,40.94549886818737,1.1141508617422164
2015-05-26,1.09764,1.09806,1.08626,1.08723,113774,5,0,28.397658679348694,1.1105614135099209
2015-05-27,1.08718,1.09284,1.08185,1.09034,107899,7,0,32.67336202773792,1.1078652250419314
2015-05-28,1.09035,1.09579,1.08681,1.09473,117478,7,0,37.34741329199767,1.1061138617030073
2015-05-29,1.09471,1.10053,1.09251,1.09895,104414,7,0,41.927262033134014,1.1051586801426063
2015-06-01,1.09835,1.09876,1.08865,1.09258,118185,5,0,36.008972983517076,1.1034815227902588
2015-06-02,1.09257,1.11927,1.09152,1.11501,189524,5,0,40.790542369822184,1.105018653084891
2015-06-03,1.11499,1.12843,1.10811,1.12737,102112,2,0,44.22815368922138,1.1079988326735721
2015-06-04,1.12736,1.13793,1.12219,1.12372,67030,1,0,41.09542439190339,1.1100949883170959
2015-06-05,1.1237,1.12793,1.10489,1.11163,185260,5,0,41.508461472382066,1.110299656541483
2015-06-08,1.11018,1.13063,1.10837,1.12908,151939,5,0,56.04124062713023,1.112803702335952
2015-06-09,1.12902,1.13446,1.12136,1.12817,171017,5,0,58.363652498003255,1.1148525420244917
2015-06-10,1.12796,1.13855,1.12599,1.1323,187092,5,0,59.20354751760716,1.1171788697545595
2015-06-11,1.13232,1.13306,1.11816,1.12566,150647,5,0,60.832663271687636,1.1183096871206182
2015-06-12,1.12567,1.12961,1.11509,1.12621,148197,5,0,63.111438028686884,1.1193630621712025
2015-06-15,1.12133,1.12938,1.11893,1.1282,112556,6,0,70.42576528068597,1.1205413205483756
2015-06-16,1.1283,1.13292,1.12044,1.12467,128956,4,0,67.04398768741922,1.1210918111419257
2015-06-17,1.12467,1.13574,1.12057,1.13365,150512,5,0,68.48053181386507,1.1227662363230022
2015-06-18,1.13365,1.1436,1.13297,1.13595,164081,5,0,67.895144128458,1.1245240714799352
2015-06-19,1.13575,1.13962,1.12915,1.13483,127247,5,0,71.52756547437058,1.1258981952826106
2015-06-22,1.1374,1.14097,1.13115,1.13396,132015,5,0,62.37429802794822,1.1269731025782626
2015-06-23,1.13398,1.13469,1.11347,1.11674,155646,5,0,43.47292152769259,1.125608688901161
2015-06-24,1.11663,1.12344,1.11539,1.12033,143646,5,0,47.91692269878335,1.1249048637143395
2015-06-25,1.12056,1.12273,1.11534,1.12035,122528,5,0,56.29148629148631,1.1242975485524276
2015-06-26,1.12023,1.12194,1.11297,1.11713,118028,5,0,39.150172507717365,1.1233418754121038
2015-06-29,1.10047,1.12776,1.09538,1.1235,193963,5,0,46.14240872294733,1.12336295869049
2015-06-30,1.12346,1.12437,1.11123,1.11453,156812,5,0,36.40813828973525,1.1221852308650915
2015-07-01,1.1138,1.11708,1.10425,1.10518,135383,5,0,34.95887191539356,1.119917866749746
2015-07-02,1.10525,1.11209,1.10319,1.10826,127664,4,0,37.28933578813202,1.1183634845164465
2015-07-03,1.10835,1.11175,1.10643,1.11038,100405,4,0,37.40458015267156,1.1172990199142536
2015-07-06,1.09794,1.1095,1.09688,1.10551,153241,7,0,36.70921198668132,1.1157271505923532
2015-07-07,1.10551,1.10581,1.09158,1.10103,173620,5,0,25.86564072210689,1.1137675305133727
2015-07-08,1.10104,1.10925,1.09734,1.10756,160168,6,0,30.23255813953486,1.1129398597782565
2015-07-09,1.10754,1.11245,1.0991,1.10353,143058,4,0,29.055139186295406,1.1116852118078222
2015-07-10,1.10353,1.12153,1.103,1.11541,157300,6,0,39.18115012247752,1.112181850233446
