Date,Open,High,Low,Close,RSI,EMA,ATR,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,target
2025-01-02 12:00:00+00:00,1.0335917472839355,1.033698558807373,1.031885266304016,1.031991720199585,31.44511981669477,1.0349337124646145,0.0014084151812961965,1.035686767101288,1.03882276010069,1.0325507741018858,0
2025-01-02 13:00:00+00:00,1.031885266304016,1.033164620399475,1.0314594507217407,1.0317788124084473,33.026204376309096,1.0345130591237923,0.0014459575925554388,1.0355158746242523,1.0391042027640742,1.0319275464844304,0
2025-01-02 14:00:00+00:00,1.0315659046173096,1.0325244665145874,1.0305029153823853,1.0306090116500854,29.131448261884373,1.0339925194606314,0.0015367524964468662,1.0352489590644836,1.0394448906239113,1.0310530275050558,0
2025-01-02 15:00:00+00:00,1.0307153463363647,1.0311404466629028,1.0277491807937622,1.0277491807937622,20.517941773865942,1.0331600743050489,0.001687058380671894,1.0348283171653747,1.0401693588885583,1.029487275442191,0
2025-01-02 16:00:00+00:00,1.0278549194335938,1.0278549194335938,1.0237510204315186,1.0264832973480225,11.380976602239457,1.0322698373774453,0.0018880707877022879,1.034344381093979,1.0408117675361495,1.0278769946518085,1
2025-01-02 17:00:00+00:00,1.0263779163360596,1.027010440826416,1.0256409645080566,1.0267994403839111,12.67646813131735,1.0315404511116406,0.0019474540437970842,1.0338923513889313,1.0411366769255388,1.0266480258523238,0
2025-01-02 18:00:00+00:00,1.0267994403839111,1.0269049406051636,1.025851488113403,1.025851488113403,12.057334911844222,1.0307819227118755,0.0019688946860177336,1.0333768248558044,1.0413698473303403,1.0253838023812685,0
2025-01-02 19:00:00+00:00,1.0259567499160769,1.0261672735214231,1.0251153707504272,1.0253255367279053,12.066730810518521,1.0300544045806794,0.001982586724417566,1.0328725457191468,1.0415669949628845,1.024178096475409,1
2025-01-02 20:00:00+00:00,1.025430679321289,1.0266940593719482,1.025430679321289,1.0265886783599854,18.89993032892083,1.0295923077512534,0.002057313919067399,1.0324260652065278,1.0414589759446562,1.0233931544683994,1
2025-01-02 21:00:00+00:00,1.0265886783599854,1.027010440826416,1.0264832973480225,1.027010440826416,21.086976854616495,1.0292480588279418,0.0020335146359035106,1.0319738507270813,1.0411463591991648,1.0228013422549977,0
2025-01-02 22:00:00+00:00,1.0265886783599854,1.0271159410476685,1.0263779163360596,1.0267994403839111,20.821818543488604,1.0289215763687376,0.001925204481397372,1.031446599960327,1.040531139602623,1.0223620603180312,1
2025-01-02 23:00:00+00:00,1.0269049406051636,1.0272213220596311,1.0267994403839111,1.027010440826416,23.433211689839254,1.0286667582964282,0.0018095799854823838,1.0309245228767394,1.0397524174966424,1.0220966282568364,1
